version,caseid,profile_gender,profile_age,profile_state,profile_relig,w3qual,w3p_ideo,w3reg,w3regstate,w3turnout,w3hsvote,w3hswho,w3dthonest,w3dem1honest,w3socmedia2_f,w3socmedia2_i,w3socmedia2_s,w3socmedia2_t,w3startdt,w3enddt,w3device
ANES 2020-22 Social Media Study 20230705,1,2,35,TX,2,1,-6,2,-1,2,2,-1,4,3,1,1,1,2,2022-12-28 10:25:00,2022-12-28 11:13:00,Smartphone
ANES 2020-22 Social Media Study 20230705,2,2,27,FL,9,1,-6,1,-1,4,1,1,5,2,1,1,2,2,2022-11-10 20:59:00,2022-11-12 15:24:00,Desktop
ANES 2020-22 Social Media Study 20230705,3,1,55,DE,2,1,-6,1,-1,4,1,1,5,3,1,2,2,2,2022-11-09 17:22:00,2022-11-09 19:10:00,Desktop
ANES 2020-22 Social Media Study 20230705,4,2,33,TX,12,1,-6,1,-1,4,1,1,5,3,1,1,1,1,2022-11-26 11:23:00,2022-11-26 12:12:00,Smartphone
ANES 2020-22 Social Media Study 20230705,6,1,30,AZ,2,1,4,1,-1,4,1,3,3,3,1,2,2,1,2022-12-09 01:50:00,2022-12-09 01:59:00,Smartphone
ANES 2020-22 Social Media Study 20230705,7,2,67,KY,10,1,-6,1,-1,1,2,-1,5,3,-1,-1,-1,-1,2022-11-11 20:21:00,2022-11-11 21:25:00,Desktop
ANES 2020-22 Social Media Study 20230705,8,1,53,NY,14,1,-6,1,-1,4,1,2,5,5,-1,-1,-1,-1,2022-11-10 18:25:00,2022-11-10 18:40:00,Desktop
ANES 2020-22 Social Media Study 20230705,9,1,19,LA,1,1,-6,1,LA,4,1,2,4,5,2,1,1,1,2022-11-11 16:26:00,2022-11-11 17:03:00,Smartphone
ANES 2020-22 Social Media Study 20230705,10,1,64,OK,1,1,-6,2,-1,1,2,-1,5,2,2,2,2,2,2022-11-11 00:34:00,2022-11-11 01:06:00,Smartphone
ANES 2020-22 Social Media Study 20230705,11,2,63,IN,1,1,-6,1,-1,4,1,2,3,5,1,2,2,2,2022-11-11 08:34:00,2022-11-11 09:06:00,Desktop
ANES 2020-22 Social Media Study 20230705,13,1,52,NJ,2,1,-6,1,-1,3,2,-1,3,5,1,-7,-7,1,2022-11-09 13:33:00,2022-11-09 13:47:00,Desktop
ANES 2020-22 Social Media Study 20230705,16,2,66,FL,2,1,-6,1,-1,4,1,1,5,3,1,-7,-7,-7,2022-11-12 21:30:00,2022-11-13 18:57:00,Smartphone
ANES 2020-22 Social Media Study 20230705,17,1,49,CA,2,1,-6,1,-1,4,1,2,2,5,1,2,2,2,2022-11-12 10:04:00,2022-11-12 15:20:00,Desktop
ANES 2020-22 Social Media Study 20230705,18,2,26,WY,1,1,-6,2,-1,3,2,-1,5,3,1,1,1,-7,2022-11-19 21:18:00,2022-11-21 13:39:00,Desktop
ANES 2020-22 Social Media Study 20230705,19,2,63,NJ,2,1,-6,1,-1,4,1,1,5,3,2,2,2,2,2022-11-12 16:40:00,2022-11-12 17:04:00,Desktop
ANES 2020-22 Social Media Study 20230705,20,1,37,MO,1,1,-6,1,-1,4,1,2,2,5,1,1,2,1,2022-11-19 15:24:00,2022-11-19 15:42:00,Smartphone
ANES 2020-22 Social Media Study 20230705,21,2,54,MN,9,1,-6,1,-1,4,1,1,5,2,1,1,2,1,2022-11-11 16:54:00,2022-11-11 17:18:00,Smartphone
ANES 2020-22 Social Media Study 20230705,23,2,40,NY,9,1,1,1,-1,4,1,1,5,3,1,1,2,2,2022-11-12 17:16:00,2022-12-16 13:59:00,Smartphone
ANES 2020-22 Social Media Study 20230705,24,2,79,TX,1,1,-6,1,-1,4,1,1,5,1,-1,-1,-1,-1,2022-11-10 19:07:00,2022-11-10 19:33:00,Desktop
ANES 2020-22 Social Media Study 20230705,27,1,62,OR,11,1,-6,1,-1,4,1,1,5,3,2,2,2,2,2022-11-10 12:07:00,2022-11-10 12:30:00,Desktop
ANES 2020-22 Social Media Study 20230705,31,1,71,PA,10,1,-6,1,-1,4,1,2,3,5,1,1,2,1,2022-11-11 12:13:00,2022-11-24 11:24:00,Desktop
ANES 2020-22 Social Media Study 20230705,32,1,64,NC,14,1,-6,1,-1,4,1,1,5,1,2,2,-7,2,2022-11-12 02:49:00,2022-11-12 03:26:00,Smartphone
ANES 2020-22 Social Media Study 20230705,34,1,42,NE,2,1,-6,1,-1,4,1,2,4,5,1,1,-7,1,2022-11-13 00:01:00,2022-11-13 00:29:00,Smartphone
ANES 2020-22 Social Media Study 20230705,35,1,27,TX,2,1,-6,1,-1,4,1,1,5,4,1,1,1,1,2022-11-10 15:00:00,2022-11-10 16:45:00,Smartphone
ANES 2020-22 Social Media Study 20230705,36,1,19,OH,11,1,-6,1,-1,4,1,1,5,3,1,1,1,1,2022-11-10 18:23:00,2022-11-10 18:46:00,Smartphone
ANES 2020-22 Social Media Study 20230705,38,1,73,NC,1,1,-6,1,-1,4,1,2,1,5,2,2,2,2,2022-11-25 17:22:00,2022-11-25 17:53:00,Tablet
ANES 2020-22 Social Media Study 20230705,39,1,54,MT,12,1,-6,1,-1,4,1,2,5,2,1,2,1,2,2022-11-12 10:11:00,2022-11-12 10:42:00,Smartphone
ANES 2020-22 Social Media Study 20230705,40,2,66,IL,1,1,-6,1,-1,4,1,-7,5,1,1,2,2,-7,2022-11-10 14:57:00,2022-11-10 15:28:00,Desktop
ANES 2020-22 Social Media Study 20230705,41,1,62,FL,2,1,-6,1,-1,4,1,2,2,5,1,-7,-7,-7,2022-11-17 13:08:00,2022-11-17 13:42:00,Smartphone
