version,caseid,profile_gender,profile_age,profile_state,profile_relig,w3qual,w3p_ideo,w3reg,w3regstate,w3turnout,w3hsvote,w3hswho,w3dthonest,w3dem1honest,w3socmedia2_f,w3socmedia2_i,w3socmedia2_s,w3socmedia2_t,w3startdt,w3enddt,w3device
ANES 2020-22 Social Media Study 20230705,1,2,35,TX,2,1,-6,2,-1,2,2,-1,4,3,1,1,1,2,12/28/2022 10:25,12/28/2022 11:13,Smartphone
ANES 2020-22 Social Media Study 20230705,2,2,27,FL,9,1,-6,1,-1,4,1,1,5,2,1,1,2,2,11/10/2022 20:59,11/12/2022 15:24,Desktop
ANES 2020-22 Social Media Study 20230705,3,1,55,DE,2,1,-6,1,-1,4,1,1,5,3,1,2,2,2,11/9/2022 17:22,11/9/2022 19:10,Desktop
ANES 2020-22 Social Media Study 20230705,4,2,33,TX,12,1,-6,1,-1,4,1,1,5,3,1,1,1,1,11/26/2022 11:23,11/26/2022 12:12,Smartphone
ANES 2020-22 Social Media Study 20230705,5,2,46,OH,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,6,1,30,AZ,2,1,4,1,-1,4,1,3,3,3,1,2,2,1,12/9/2022 1:50,12/9/2022 1:59,Smartphone
ANES 2020-22 Social Media Study 20230705,7,2,67,KY,10,1,-6,1,-1,1,2,-1,5,3,-1,-1,-1,-1,11/11/2022 20:21,11/11/2022 21:25,Desktop
ANES 2020-22 Social Media Study 20230705,8,1,53,NY,14,1,-6,1,-1,4,1,2,5,5,-1,-1,-1,-1,11/10/2022 18:25,11/10/2022 18:40,Desktop
ANES 2020-22 Social Media Study 20230705,9,1,19,LA,1,1,-6,1,LA,4,1,2,4,5,2,1,1,1,11/11/2022 16:26,11/11/2022 17:03,Smartphone
ANES 2020-22 Social Media Study 20230705,10,1,64,OK,1,1,-6,2,-1,1,2,-1,5,2,2,2,2,2,11/11/2022 0:34,11/11/2022 1:06,Smartphone
ANES 2020-22 Social Media Study 20230705,11,2,63,IN,1,1,-6,1,-1,4,1,2,3,5,1,2,2,2,11/11/2022 8:34,11/11/2022 9:06,Desktop
ANES 2020-22 Social Media Study 20230705,12,1,72,TX,1,-6,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,13,1,52,NJ,2,1,-6,1,-1,3,2,-1,3,5,1,-7,-7,1,11/9/2022 13:33,11/9/2022 13:47,Desktop
ANES 2020-22 Social Media Study 20230705,14,2,31,GA,1,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,15,1,34,MI,1,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,16,2,66,FL,2,1,-6,1,-1,4,1,1,5,3,1,-7,-7,-7,11/12/2022 21:30,11/13/2022 18:57,Smartphone
ANES 2020-22 Social Media Study 20230705,17,1,49,CA,2,1,-6,1,-1,4,1,2,2,5,1,2,2,2,11/12/2022 10:04,11/12/2022 15:20,Desktop
ANES 2020-22 Social Media Study 20230705,18,2,26,WY,1,1,-6,2,-1,3,2,-1,5,3,1,1,1,-7,11/19/2022 21:18,11/21/2022 13:39,Desktop
ANES 2020-22 Social Media Study 20230705,19,2,63,NJ,2,1,-6,1,-1,4,1,1,5,3,2,2,2,2,11/12/2022 16:40,11/12/2022 17:04,Desktop
ANES 2020-22 Social Media Study 20230705,20,1,37,MO,1,1,-6,1,-1,4,1,2,2,5,1,1,2,1,11/19/2022 15:24,11/19/2022 15:42,Smartphone
ANES 2020-22 Social Media Study 20230705,21,2,54,MN,9,1,-6,1,-1,4,1,1,5,2,1,1,2,1,11/11/2022 16:54,11/11/2022 17:18,Smartphone
ANES 2020-22 Social Media Study 20230705,22,1,47,WA,12,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,23,2,40,NY,9,1,1,1,-1,4,1,1,5,3,1,1,2,2,11/12/2022 17:16,12/16/2022 13:59,Smartphone
ANES 2020-22 Social Media Study 20230705,24,2,79,TX,1,1,-6,1,-1,4,1,1,5,1,-1,-1,-1,-1,11/10/2022 19:07,11/10/2022 19:33,Desktop
ANES 2020-22 Social Media Study 20230705,25,1,74,MI,1,-6,-6,-6,,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,
ANES 2020-22 Social Media Study 20230705,26,1,74,NV,14,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,#NULL!,#NULL!,-6
ANES 2020-22 Social Media Study 20230705,27,1,62,OR,11,1,-6,1,-1,4,1,1,5,3,2,2,2,2,11/10/2022 12:07,11/10/2022 12:30,Desktop
